Symbol,max_position,tcost,score,weights_ystd,sector,market_value,trend
2768,0.012,0.0,-0.00324461186156425,0.0001569412662910788,801030.SI,5831952017.6,0.0
2773,0.00682616166299323,0.0,-0.00196916330159974,0.0001569412662910788,801150.SI,22042056652.88,0.0
2776,0.0035640729887536702,0.0,-0.000472699780718609,0.0001569412662910788,801130.SI,3827254500.084,0.0
2777,0.00502943739872779,0.0,0.000155337993298074,0.00027883597314765296,801750.SI,7463488083.09,0.0917812732414036
2782,0.012,0.0,-0.000108100506594176,0.0001569412662910788,801080.SI,5492844000.0,0.0
2791,0.00880212112658115,0.0,-0.00252365267256696,0.0001569412662910788,801710.SI,12606530905.878,0.0253748796167014
2792,0.00457433934339815,0.0,0.000950252323872516,0.0009026102813140434,801770.SI,4098840456.932,0.0636122765361292
2793,0.00248056466469981,0.0,0.000575192698747628,0.0006082986188052576,801150.SI,3346775664.802,0.0241025049795448
2796,0.0038174877196887704,0.0,0.00184643599544042,0.0016058512825403192,801890.SI,4556730129.6,0.0
2797,0.012,0.005,-0.000225239740622329,0.0001569412662910788,801790.SI,23914387200.0,0.0
2798,0.0108975345005201,0.0,-0.000715558254500236,0.0001569412662910788,801140.SI,7884707575.672,0.0550651409907431
2799,0.0021263439065587197,0.0,-0.00158298101098228,0.0001569412662910788,801140.SI,2472600000.0,0.0
2810,0.00913034689562107,0.0,0.000238616113702837,0.0003441848415009751,801030.SI,4539688581.12,0.136146144092259
2811,0.0032748463774775896,0.0,0.0,0.0001569412662910788,801720.SI,2511250532.416,0.0
2812,0.012,0.0,0.00243009484584803,0.002063852077865147,801030.SI,30515793914.488,0.0563098611563174
2815,0.0118045818102636,0.0,0.000589031995345652,0.000619158402468616,801080.SI,7514108450.284,0.0514752131421161
2816,0.00268951841803347,0.0,-0.00216966036158884,0.0001569412662910788,801890.SI,2782384441.7759995,0.0716451170263183
2821,0.012,0.0,-0.000228713139971727,0.0001569412662910788,801150.SI,46949672682.0,0.12107576916111698
2822,0.012,0.0,-0.00219187838786652,0.0001569412662910788,801720.SI,5812179568.544001,0.0147074003325561
2829,0.008750137772309591,0.0,0.00114863684993384,0.0010582838749771423,801740.SI,2535989257.872,0.0
2831,0.00858397288059505,0.0,-0.0006055730525132719,0.0001569412662910788,801140.SI,10219269225.071999,0.0
2832,0.00347115296441821,0.0,-0.0021641201617813802,0.0001569412662910788,801130.SI,4397387921.24,0.0
2837,0.00440791057335001,0.0,0.00174595595243341,0.0015270039566078078,801890.SI,5934642699.23,0.000432897733695047
2838,0.012,0.0,-0.00260351126656631,0.0001569412662910788,801030.SI,11180953388.432,0.0438861067475857
2839,0.00435726175295186,0.005,0.000690235543082108,0.0006985734671431613,801780.SI,7000850167.344,-0.0487932715325062
2840,0.00490885343073035,0.0,-0.00103118298578991,0.0001569412662910788,801120.SI,4609069728.8,-0.01997037761671
2841,0.012,0.0,0.0005561812458008441,0.00059338021130775,801080.SI,32737940870.218,0.0
2847,0.0110241054481404,0.0,-0.0028157537637123,0.0001569412662910788,801120.SI,10491294144.355999,0.0291984471793424
2850,0.012,0.0,0.00314596501665172,0.0026255999333948577,801080.SI,7259369295.42,0.117343593451031
2851,0.0112657151426102,0.0,-0.0019352276068331,0.0001569412662910788,801730.SI,8867027036.56,0.0330800585976451
2852,0.00908410986403247,0.0,-0.00334468363002321,0.0001569412662910788,801010.SI,3275212134.912,0.0
2859,0.00818076760230161,0.0,0.00143294047097462,0.001281378726463537,801080.SI,9677246282.94,0.0594402724563057
2867,0.00475291623941754,0.0,0.00018254155330081002,0.0003001827789199267,801140.SI,14633015331.3,0.0
2869,0.00758225031776592,0.0,0.0017302134933652401,0.0015146507493043377,801080.SI,5673193638.07,0.0480427291568361
2880,0.00540859982806726,0.0,-0.0020142911254152802,0.0001569412662910788,801150.SI,2656184465.7,0.16675973331025198
2884,0.00442715609061394,0.0,0.0,0.0,801890.SI,2726757590.372,0.0
2891,0.012,0.0,-0.0009005941789570939,0.0001569412662910788,801010.SI,3080461391.4,0.0127145956071873
2901,0.012,0.0,-0.00103965042602065,0.0001569412662910788,801150.SI,3655379260.0,0.346532070006153
2906,0.00224802221566665,0.0,0.00157730801711235,0.0013946648539744928,801880.SI,2533771062.144,0.0
2911,0.0105419528633264,0.0,-0.000461219733838551,0.0001569412662910788,801160.SI,4952746356.5,0.0
2912,0.012,0.0,0.00112964113797221,0.0010433778195303482,801750.SI,7527269560.0,0.0818890514141208
2916,0.012,0.0,0.0007573199248796871,0.0007512150062814924,801080.SI,21375221689.728,0.18483065263043202
2918,0.0118855346372827,0.0,0.00036555060047933197,0.0004437911369545318,801710.SI,4446346322.55,0.125191291666795
2920,0.012,0.0,0.0017794307373252898,0.0015532718322565733,801750.SI,6163993000.0,0.0291859302497516
2925,0.00839850501403514,0.0,0.000199540751112474,0.00031352215707240207,801080.SI,7893069280.06,0.0
2926,0.00948359416175252,0.005,0.000584590481330958,0.0006156731183000379,801790.SI,17525421099.648,-0.0139974489881615
2928,0.00620081489953064,0.0,-0.000912861190738275,0.0001569412662910788,801170.SI,2696095315.08,0.0
2938,0.012,0.0,0.00119817298083261,0.0010971551905292103,801080.SI,11128068780.182,0.013308422161438344
2939,0.010489234265283002,0.005,-0.000145855147021665,0.0001569412662910788,801790.SI,19411006379.184,0.013308422161438344
2941,0.012,0.0,-0.00048731176390655995,0.0001569412662910788,801720.SI,2539079500.0,0.013308422161438344
2945,0.007954863937716841,0.005,-0.000832362938779663,0.0001569412662910788,801790.SI,10281736970.358,0.013308422161438344
2946,0.012,0.0,-0.00279002498154405,0.0001569412662910788,801120.SI,2958830123.84,0.013308422161438344
2950,0.0075800155189359,0.0,-0.000538942863600733,0.0001569412662910788,801150.SI,8246127350.231999,0.013308422161438344
2958,0.00780223233877242,0.005,0.00190533786511088,0.0016520719526052895,801780.SI,11635643416.623999,0.013308422161438344
300001,0.012,0.0,0.0015284778381269401,0.0013563475033585414,801730.SI,18749622144.576,0.00651773243526074
300002,0.012,0.0,0.0007932358819703719,0.0007793984852108333,801750.SI,9456059484.972,0.0
300003,0.012,0.0,0.000591699465056909,0.0006212515828400048,801150.SI,55206607970.574005,0.0482682318657719
300007,0.00394916544194748,0.0,0.00044621692604146507,0.0005070905133583795,801890.SI,3028243132.7279997,0.0
