Symbol,Max,tcost,scores,weights_ystd,sect,mv,trend
507,0.00317850728832308,0.0,0.000552476455406303,0.0,801170.SI,4367534023.6,-0.179543481772785
513,0.012,0.0,0.000272161762708537,0.0,801150.SI,23465698040.964,0.0146456118300931
519,0.012,0.0,0.000340542589407041,0.0,801740.SI,12231218793.72,0.0
525,0.0070245470100307105,0.0,-2.34088198309858e-05,0.0,801030.SI,4958062965.64,-0.0261900283488325
528,0.004533095400726821,0.0,-0.00024216909032110097,0.0,801890.SI,9425205273.456,0.0
532,0.012,0.0,0.000281724748887014,0.0,801080.SI,3987993043.86,0.0
538,0.012,0.0,0.000597920466050846,0.0,801150.SI,52812450796.728,0.0
539,0.0074896733954817,0.0,0.000102235009629315,0.0,801160.SI,9337084138.24,-0.152359176521742
541,0.012,0.0,-0.00403391749930004,0.0,801080.SI,6784980728.551999,-0.0426080439176005
546,0.00894861406039681,0.0,-0.000106789653289389,0.0,801710.SI,6399236802.36,-0.0658270312803173
547,0.012,0.0,-6.29907390352743e-05,0.0,801740.SI,17707400375.47,0.0624303680017244
550,0.00405978255190851,0.0,0.000209308393048197,0.0,801880.SI,6097125879.6,0.0
551,0.012,0.0,-0.00483098169668059,0.0,801890.SI,4864977724.8,0.0649849148429158
555,0.0107176855714288,0.0,-0.000276360939530738,0.0,801750.SI,13447422962.133999,0.00209393436367811
557,0.012,0.0,-0.00309983936445798,0.0,801170.SI,6344851293.696,0.0
559,0.00200929137184255,0.0,-0.000853229672872638,0.0,801880.SI,13490431932.6,-0.122200299068169
561,0.0043236707335865395,0.0,0.000875403042075362,0.0,801740.SI,4000813414.36,0.0
564,0.012,0.0,-0.00240593965474562,0.0,801200.SI,7754793669.245999,0.0
568,0.012,0.0,0.000628945409710567,0.0,801120.SI,123697200381.81,0.0425967300962341
576,0.00565372374363451,0.0,0.0002518706441007,0.0,801010.SI,3058376651.028,-0.00393422679631989
581,0.00911366581810633,0.0,0.00022655913291847997,0.0,801880.SI,16664563541.78,0.0
584,0.010542336587135,0.0,-0.00152330513621243,0.0,801890.SI,3459462678.35,-0.09112774130590402
596,0.012,0.0,0.0019069218197109,0.00849144303817098,801120.SI,57555344000.0,0.0742566384135011
598,0.00197182211627432,0.0,0.000499881050733112,0.00291240773428963,801160.SI,13951613308.543999,0.0408484962592484
599,0.0030674758816002,0.0,0.000671563798677278,0.0,801030.SI,3242729073.408,-0.0657077680893326
600,0.00418944771574224,0.0,0.00132468386984711,0.0,801160.SI,5284533922.848,0.0
601,0.00331654809900188,0.0,0.000215082795696971,0.0,801160.SI,5576252742.348001,0.0
603,0.0114307210722531,0.0,0.00046537846301209407,0.0,801050.SI,6969966378.03,0.0
615,0.00297679546095365,0.0,-0.00044356859835549696,0.0,801180.SI,3016415334.36,-0.0294673129784638
625,0.012,0.0,0.0009162518639477269,0.0,801880.SI,38998633403.062004,0.00105365281340808
627,0.009472618596983529,0.005,4.1895648556719103e-05,0.0,801790.SI,21601708408.3,-0.0036223190401295
636,0.012,0.0,-4.50882270404472e-06,0.0,801080.SI,20749713046.758,0.0636426913625377
639,0.012,0.0,0.00045425974971140097,0.0,801120.SI,6589414993.856,0.0
652,0.012,0.0,0.00240430806031686,0.0,801230.SI,9381256302.976,0.0340343109770846
655,0.007343746569387041,0.0,-0.000336611782359109,0.0,801020.SI,3275561945.46,0.013308422161438344
656,0.012,0.0,0.000675637069448334,0.0039959241401949395,801180.SI,41143731404.16,0.127796839257348
657,0.00255594295215006,0.0,0.000110314355961241,0.0,801050.SI,4781903836.094,-0.0456162277086256
661,0.012,0.0,0.000785056591150164,0.0,801150.SI,111973743574.0,0.23264432841821997
665,0.012,0.0,-0.000834343492006218,0.0,801760.SI,5401863357.912,-0.025287396882278
666,0.00305351067843409,0.005,-0.000415805195480357,0.0,801790.SI,2744987499.632,0.013308422161438344
672,0.012,0.0,0.000675996181300967,0.0029969431051462,801710.SI,20290052342.998,0.104554460982451
680,0.00256752424277153,0.0,0.00022735862548878998,0.0,801890.SI,3711937921.184,0.0
682,0.00204074267338432,0.0,-0.0006291670526040901,0.0,801730.SI,4706245448.94,0.0
686,0.0057839363352026295,0.005,-9.07326202250476e-05,0.006568724162779971,801790.SI,18620643391.74,0.0
688,0.007299994402560941,0.0,0.000267542283824325,0.0,801050.SI,21130940988.52,0.0458447380353363
697,0.0065911022582601795,0.0,-0.000380080304934922,0.0,801740.SI,5434246119.198,-0.0985668758269603
700,0.0116998454963076,0.0,0.00150276526754766,0.0,801880.SI,5836761728.128,0.045864895191580005
708,0.00501743158690585,0.005,0.00209913965129331,0.00490160099970618,801040.SI,11744122162.751999,0.16360130406902
710,0.012,0.0,0.000799558550424125,0.0,801150.SI,7969461623.5,0.0
712,0.00492569452384579,0.005,-0.000242537069375808,0.0,801790.SI,9688873013.084,0.0
713,0.012,0.0,2.50338372263846e-05,0.0,801010.SI,3997286742.3040004,0.178788903531542
716,0.00937968164900673,0.0,0.0005771401370772661,0.0,801120.SI,2682533987.338,0.0
717,0.004569981675114,0.005,0.000216984117635268,0.00413343521877384,801040.SI,9121607025.7,-0.107030067476093
723,0.00963174907492915,0.0,-0.0006011752989538969,0.0,801020.SI,23964718840.85,0.0
725,0.012,0.0,4.55224388739959e-05,0.0,801080.SI,125961285112.08,0.0
729,0.00585904826034524,0.0,0.00086568601715162,0.00498315838489375,801120.SI,15703857453.732,-0.0051207111789711
731,0.00341862445311582,0.0,-0.00020119222790913898,0.0,801030.SI,2925481604.992,0.0
733,0.012,0.0,7.683821928845859e-05,0.0,801080.SI,10872694652.16,0.122842734258494
735,0.012,0.0,0.000728961576124568,0.0,801010.SI,12231625006.052,0.0
738,0.00737469250766399,0.0,0.00089880583568331,0.0,801740.SI,15007810626.9,0.0
739,0.012,0.0,0.000488706752142054,0.0,801150.SI,20514388874.72,0.28240195006283897
750,0.00780670573766547,0.005,-0.000680579417653565,0.0,801790.SI,22834325850.966,0.0
756,0.00594219229119536,0.0,0.000479075594099596,0.0,801150.SI,3783218379.19,0.0
758,0.012,0.0,-0.00321882528531507,0.0,801050.SI,8302119715.896,-0.0976291114017761
762,0.00417024362313637,0.0,-0.000275114428980041,0.0,801020.SI,3719521589.5559998,-0.0579793895174293
768,0.012,0.0,0.000743147914157617,0.0,801740.SI,47515184228.252,0.0
786,0.0119829728347706,0.0,-7.212215430154441e-05,0.0029969431051462,801710.SI,38497125687.812004,0.0
788,0.00482801371234753,0.0,-0.00035449029290377405,0.0,801150.SI,3993115747.5,-0.0150798356496994
789,0.012,0.0,0.00019595890388811899,0.0,801710.SI,10682959221.858,0.0324356578746856
795,0.012,0.0,-0.005339225538616,0.0,801050.SI,6558015134.814,0.0
796,0.012,0.0,-0.00193447494837958,0.0,801210.SI,8168827319.94,0.0
797,0.0023509146556168104,0.0,0.0007028885442081679,0.0,801180.SI,6147947428.07,-0.00922175280049557
799,0.012,0.0,-0.000818498013153713,0.0,801120.SI,13889414179.08,0.0398178296649019
800,0.012,0.0,0.000249751745140513,0.0,801880.SI,7921918014.582,0.00353869818595249
801,0.0021939266178299197,0.0,0.00110787183536401,0.0,801110.SI,5670440045.424,0.0
807,0.009203910903483591,0.0,0.000257377166112628,0.0,801050.SI,10395487596.3,-0.0294984447932032
810,0.012,0.0,0.00044675168484187695,0.0,801110.SI,10961388581.818,0.0
815,0.00288854025205655,0.0,0.000299425716578166,0.0,801140.SI,4754208633.33,-0.007084103236885421
818,0.012,0.0,-0.00037009377267818396,0.0,801030.SI,15407336566.751999,0.160079971349585
823,0.0101293266994734,0.0,0.000339707800136022,0.0,801080.SI,6419421641.471999,0.043688606716490996
826,0.00364022386740371,0.0,1.4863927736736099e-05,0.0,801160.SI,8831453608.944,-0.0953556352657166
829,0.00506449733747138,0.0,0.0006648589420003559,0.0,801200.SI,5298708280.8,-0.0042087840192494294
830,0.00397469507482033,0.0,-0.000684291960990191,0.0,801030.SI,10512314933.7,-0.16928790879795302
831,0.012,0.0,0.00119241323104127,0.0,801050.SI,12127711361.084,0.0
848,0.012,0.0,0.0012314006998200599,0.0,801120.SI,7951108845.931999,0.0
851,0.012,0.0,-0.000406982347217464,0.0,801770.SI,6270710258.644,0.046487564975382006
859,0.0031541938492874603,0.0,-0.000855410428510502,0.0,801030.SI,3624109776.96,0.0
860,0.012,0.0,0.00041638967158549704,0.0,801120.SI,40086571619.537994,0.0885954029397578
869,0.009274595772158,0.0,0.000352622600253882,0.0,801120.SI,12970792723.2,-0.00391605905799271
875,0.00246156464687062,0.0,-0.000343829057576233,0.0,801160.SI,7675168370.88,0.0327313685229246
876,0.012,0.0,0.000643407552003263,0.0,801010.SI,118450800519.356,0.155012124650912
877,0.012,0.0,0.000578798665444503,0.0,801710.SI,10927258265.984001,0.148692693881139
881,0.00248713328315409,0.0,0.000290459039514002,0.0,801030.SI,5005383866.495999,-0.116958897208794
883,0.0016595710603118901,0.0,-0.000309824974037678,0.0,801160.SI,22791775659.744,-0.03303646201713
885,0.0011675115339262801,0.0,0.000476802729719008,0.0,801170.SI,4793064427.848,-0.0665411367952327
886,0.0110100979295983,0.0,0.00010601574231767,0.0,801170.SI,5007538940.096,0.0
887,0.00634563855260709,0.0,-0.000371073084718275,0.0,801880.SI,9345348029.304,-0.115996687854788
889,0.00766240948998716,0.0,0.00018650731368275502,0.0,801770.SI,5545061911.04,-0.0106921369830068
895,0.012,0.0,0.00029976126918794,0.0,801120.SI,35746399444.496,0.0443462396513245
901,0.00392119854126933,0.0,-0.000158420492290548,0.0,801890.SI,6887253058.15,0.0
902,0.00442787042133159,0.0,0.000900716028534561,0.0,801030.SI,9970013553.984001,0.0
908,0.00553991802644633,0.0,0.000659010482691136,0.0037852128899896202,801150.SI,2586598778.28,0.0
909,0.0041902252623448,0.0,0.000727406174706413,0.0,801180.SI,2641252435.584,0.0
910,0.012,0.0,-0.0051444208530705,0.0,801140.SI,7244299100.0,-0.0344681571314505
915,0.0114016995238679,0.0,0.00119587830741094,0.0039959241401949395,801150.SI,7455832676.58,0.0472953112006251
921,0.00923186417994046,0.0,-0.00183625138369664,0.0,801110.SI,9829674836.64,0.0
928,0.0021636797049760102,0.0,4.1845066187153296e-05,0.0,801720.SI,5137238106.896,-0.0370328820824201
930,0.00503897594687604,0.0,-0.000342306484569038,0.0,801010.SI,6631290826.74,-0.08822324738705699
931,0.00443786033767251,0.0,0.00090456394533049,0.0,801150.SI,6636630820.858001,0.0
932,0.00617713442224474,0.005,0.0009648964553249109,0.00393653352433018,801040.SI,15975027655.751999,-0.114046497054038
935,0.0038445988034913102,0.0,-0.000419182628248569,0.0,801710.SI,9924702398.0,-0.0061826274000197
936,0.012,0.0,0.0005060697227171509,0.0,801030.SI,8651514522.308,0.0636279563312465
938,0.012,0.0,-0.000338914782039571,0.00499490517524367,801750.SI,78333501931.42401,0.0397073535981242
948,0.003264139608809,0.0,-0.000103582515789811,0.0,801750.SI,3752524326.22,0.11794315122486901
951,0.0116674234125461,0.0,0.00111564905827649,0.0,801880.SI,16569946487.28,0.0752727883768417
957,0.00339240514108591,0.0,-0.000107496567899162,0.0,801880.SI,3882261425.7920003,0.0
960,0.00615209824712475,0.0,0.000179644555148126,0.0,801050.SI,13924206274.776001,-0.0940490448457337
961,0.012,0.0,0.000741946506656092,0.0,801180.SI,28774321372.16,0.0
962,0.0037466675873368397,0.0,0.000280420931049655,0.0,801050.SI,2907721671.76,0.0
963,0.012,0.0,0.000349476769825079,0.0,801150.SI,40063061401.488,-0.084011954099701
967,0.012,0.0,0.000405781096939689,0.0,801160.SI,15968417027.136002,0.0
969,0.012,0.0,-0.0004908465396161269,0.0,801050.SI,6065037102.3,-0.0213521081764489
970,0.012,0.0,-0.00035221185279165,0.0,801050.SI,10543349600.0,-0.000349062238675776
973,0.00437791252207752,0.0,0.000684379215624765,0.0,801030.SI,4368778255.488,0.0
975,0.012,0.0,0.000528711453952924,0.0,801050.SI,19650275080.32,0.0881120247474502
976,0.00236666911045035,0.0,-0.000716238031765325,0.0,801890.SI,7382765185.08,-0.0438659098185849
977,0.012,0.0,-0.00032139781224290603,0.0,801750.SI,56284346749.424,0.0410126874056971
983,0.0036658427727982797,0.0,9.696215765575459e-05,0.0,801020.SI,15100539186.72,-0.0667566992117758
987,0.012,0.005,0.00158827296471917,0.00978800732188205,801790.SI,32146093149.24,0.0477277991642063
988,0.012,0.0,-0.000838720125091597,0.0,801080.SI,19673323891.704,0.0167516884903836
990,0.00251008269426085,0.0,-0.000628543628709363,0.0,801030.SI,9292707563.921999,0.0
996,0.0020417357110079,0.0,-0.0007216084268237991,0.0,801880.SI,2702730000.0,-0.0238850186721597
997,0.007152054190049959,0.0,-0.000855676327657691,0.0,801750.SI,16218539340.228,0.0
998,0.012,0.0,-0.000524729303413962,0.00499490517524367,801010.SI,16033783194.06,0.0
1696,0.00400847980652515,0.0,0.00123179859701606,0.00398779046515673,801880.SI,5388127182.5,0.0
2001,0.012,0.0,-0.000288037979404352,0.0,801150.SI,54093531793.774,0.0499106263775493
2002,0.00833381504108267,0.0,-5.32141356743387e-06,0.0,801030.SI,9321137982.4,0.0
2003,0.00210994159867652,0.0,0.00032247969958357903,0.0,801130.SI,3602716334.6159997,-0.214049190862709
2004,0.00255616911924135,0.0,0.000394491040299888,0.0,801030.SI,9130849810.64,0.0
2007,0.012,0.0,0.000733089005339916,0.0,801150.SI,64606312704.78,0.267888693737503
2008,0.012,0.0,0.00040116265923587205,0.0,801080.SI,29755347780.332,-0.14434571691507597
